show_flag,page,title,type,organization,venue,start_date,end_date,notes,url,url_2,,,
TRUE,Activities,Leadership Reimagined Peer Coaching Circle,Professional Development,Fondation Chanel,,October 2024,Present,,,,,,
TRUE,Activities,EWA Caucus on Education Data,Professional Development,Education Writers Association,,September 2024,Present,,,,,,
TRUE,Activities,EWA Caucus on School Privacy,Professional Development,Education Writers Association,,January 2024,June 2024,,,,,,
FALSE,Activities,LGBTQIA+ Reporting Grants Judge,Judging,Poynter,,May 2024,,,,,,,
FALSE,Activities,Community Reviewer,Judging,OpenNews,,September 2023,,,,,,,
TRUE,Activities,Lead With Influence,Professional Development,Poynter,,July 2023,,,,,,,
TRUE,Activities,Total Newsroom Training - Civic News Company,Professional Development,Investigative Reporters & Editors,,April 2023,,,,,,,
TRUE,Activities,Eric B. Sager Fellowship - DBEI Symposium,Professional Development,Investigative Reporters & Editors,,October 2022,,,,,,,
TRUE,Activities,Intro to Solutions Journalism,Teaching,Camp Lilac,,July 2022,,"<a href=""https://www.camplilac.org/"">Camp Lilac</a> through the Cleveland Foundation. Developed and taught a week-long crash course. It sought to empower teenagers to write about problems and solutions in their communities. Publications forthcoming!",,,,,
TRUE,Activities,Union Leadership Committee,Leadership,Civic News Guild,,April 2022,Present,,,,,,
TRUE,Activities,EWA Caucus on School Finance,Professional Development,Education Writers Association,,January 2022,December 2022,,,,,,
FALSE,Activities,Mark of Excellence Awards Judge,Judging,Society of Professional Journalists,,January 2021,,,,,,,
TRUE,Activities,Founding Member > Interim Board Member > Board President > Interim Executive Director > Board Treasurer,Leadership,Trans Journalists Association,,June 2020,Present,,,,,,
TRUE,Activities,LGBTQIA+ ERG Facilitator,Leadership,Civic News Company,,January 2023,March 2024,,,,,,
TRUE,Activities,Holly Whisenhunt Stephen Fellowship - Data Journalism Bootcamp,Professional Development,Investigative Reporters & Editors,,December 2019,,,,,,,
TRUE,Activities,"<a href=""https://current.org/2019/08/in-st-louis-a-mini-j-school-makes-public-radio-listeners-advocates-for-real-news/"">Mini J School</a> Curriculum Cobuilder",Teaching,St. Louis Public Radio,,Nov 2018,May 2019,,,,,,
TRUE,Activities,Total Newsroom Training - St. Louis Public Radio,Professional Development,Investigative Reporters & Editors,,March 2018,,,,,,,
FALSE,Activities,#Press4Education Volunteer,Teaching,Society of Professional Journalists,,February 2018,August 2020,,,,,,
FALSE,Activities,Mark of Excellence Awards Judge,Judging,Society of Professional Journalists,,January 2020,,,,,,,
TRUE,Activities,Secretary,Leadership,Society of Professional Journalists - St. Louis Pro Chapter,,May 2017,July 2023,,,,,,
TRUE,Activities,Student Boot Camp Co-Organizer,Teaching,Society of Professional Journalists - St. Louis Pro Chapter,,May 2017,May 2022,,,,,,
TRUE,Activities,LC101 Intensive Boot Camp,Professional Development,LaunchCode,,May 2017,December 2017,,,,,,
TRUE,Activities,Ted Scripps Leadership Institute,Professional Development,Society of Professional Journalists,,April 2017,,,,,,,
TRUE,Activities,Community Media Intern,Teaching,Nine Network of Public Media's NineLab,,May 2016,July 2016,,,,,,
TRUE,Activities,Literary Journalism Fellow,Professional Development,Merle Kling,,March 2014,May 2016,,,,,,
TRUE,Activities,Writing Center & Cornerstone Peer Tutor,Teaching,Washington University in St. Louis,,August 2013,May 2016,,,,,,
FALSE,Speaking,Advanced Excel,Workshop,Education Writers Association,Diving Into Data,2025,,,,,,,
TRUE,Speaking,Covering Transgender Policies In Your State,Workshop,Report for America,,2024,,,,,,,
FALSE,Speaking,How to Cover Trans Communities in Public Schools,Panel,Advance Local News,LGBTQIA+ ERG,2024,,,,,,,
TRUE,Speaking,Crunching the Numbers: Data Journalism 101,Panel,American Society of Journalists and Authors,ASJA 2024 Conference From Anywhere,2024,,,https://www.asja.org/conference-day-3-recap/,,,,
TRUE,Speaking,Intro to Education Data,Presentation,Education Writers Association,Education Data Caucus,2024,,,,,,,
TRUE,Speaking,Elevating Student Voices: Tips on Interviewing LGBTQ+ Youth,Moderation,Education Writers Association,NLGJA National Convention 2024,2024,,,https://ewa.org/events/upcoming-events/education-writers-association-at-nlgja-2024,,,,
TRUE,Speaking,"Reporting on queer policies, legislation and politics",Panel,Investigative Reporters & Editors,Election Series,2024,,,,,,,
TRUE,Speaking,Responsibly reporting on issues affecting trans people,Panel,Indiana Pro Chapter of SPJ,Public webinar,2024,,,,,,,
TRUE,Speaking,The Do's and Don't's of Covering Trans Issues,Moderation,Education Writers Association,Education Writers Association National Convention 2024,2024,,,,,,,
TRUE,Speaking,A roundtable on covering trans communities,Moderation,Society of Professional Journalists,Society of Professional Journalists Region 10 Conference,2024,,,https://youtu.be/nYOc36QDzsU,,,,
TRUE,Speaking,Community call on trans data and mentorship programs for trans journalists,Presentation,OpenNews,"OpenNews Community Call, April",2024,,,,,,,
TRUE,Speaking,How to cover trans communities sensitively and accurately,Workshop,the Trans Journalists Association > AudioChuck,Internal training,2024,,,,,,,
TRUE,Speaking,The power of knowing your (data's) weaknesses,Panel,Investigative Reporters & Editors,NICAR 2024,2024,,,,,,,
TRUE,Speaking,First Python notebook: Data analysis on a deadline,Workshop,Investigative Reporters & Editors,NICAR 2024,2024,,,https://palewi.re/docs/first-python-notebook/concat.html,,,,
TRUE,Speaking,Trans data: How we can do better,Panel,Investigative Reporters & Editors,NICAR 2024,2024,,,,,,,
TRUE,Speaking,Intro to Data Journalism: How To Tell Stories With Data,Presentation,"Columbia University, Society of Professional Journalists","Class Visits, #Press4Education","2024, 2020",,,,,,,
FALSE,Speaking,Guest editor for class exercise,Presentation,CUNY,Class Visit,2024,,,,,,,
TRUE,Speaking,How to cover trans issues well in an election year,Workshop,Reynolds Journalism Institute,Public training,2024,,,,,,,
TRUE,Speaking,How to use bad and limited LGBTQ+ data responsibly,Workshop,OpenNews,SRCCON 2023,2023,,,https://2023.srccon.org/schedule/,,,,
TRUE,Speaking,"Beyond ""the medical debate"": Envisioning high-impact/autonomy-centered coverage of anti-trans legislation",Panel,Investigative Reporters & Editors,AccessFest 2023,2023,,,https://schedules.ire.org/accessfest-2023/index.html#2026,,,,
TRUE,Speaking,Transgender and gender non-conforming data sources,Panel,Investigative Reporters & Editors,AccessFest 2023,2023,,,https://schedules.ire.org/accessfest-2023/index.html#2023,,,,
TRUE,Speaking,Reporting With Flawed Data,Presentation,"The Groundtruth Project, <a href=""https://ewa.org/events/upcoming-events/diving-into-data-workshop-2023"">Education Writers' Association</a>","Report for America Skills Training, Diving Into Data Workshop 2023",2023,,,,,,,
TRUE,Speaking,Framing and Facts: Getting Trans Coverage Right,Panel,NLGJA: The Association for LGBTQ+ Journalists,NLGJA National Convention 2023,2023,,,,,,,
TRUE,Speaking,Shop Talk: Visual Storytelling,Panel,Education Writers Association,76th EWA National Seminar,2023,,,,,,,
TRUE,Speaking,Queering the Newsroom: LGBTQ+ Journalist Caucus ,Moderation,Education Writers Association,76th EWA National Seminar,2023,,,,,,,
TRUE,Speaking,How to clean messy data,Workshop,Civic News Company,Internal training,2023,,,,,,,
FALSE,Speaking,Q&A on covering trans issues,Presentation,"the Trans Journalists Association > St. Louis Public Radio, The Associated Press, Reuters, KFF Health News, WYPR, CBS News",Internal training,"2024, 2023",,,,,,,
TRUE,Speaking,How to Cover Trans Issues Well,Panel,Society of Professional Journalists,Region 10 SPJ Conference 2023,2023,,,,,,,
TRUE,Speaking,Extracting Data from PDFs,Presentation,"<a href=""https://ewa.org/events/upcoming-events/diving-into-data-workshop-2023"">Education Writers' Association</a>, St. Louis Public Radio","Diving Into Data Workshop 2023, internal newsroom trainings","2023, 2018",,,,,,,
TRUE,Speaking,Intermediate/Advanced Excel and Intro to SQL,Workshop,"<a href=""https://ewa.org/events/upcoming-events/diving-into-data-workshop-2023"">Education Writers' Association</a>",Diving Into Data Workshop 2023,2023,,Developed and co-taught a weekend course in Excel and SQL.,,,,,
TRUE,Speaking,Editors' Roundtable,Panel,"<a href=""https://citizensandscholars.org/fellowships/for-business-policy-leaders/higher-ed-media-fellowship/"">Institute for Citizens & Scholars</a>",Higher Ed Media Fellowship CTE Symposium,2022,,,,,,,
TRUE,Speaking,How to scrape websites with Google Sheets,Workshop,Investigative Reporters & Editors > The Mountain State Times,Internal training,2022,,,,,,,
TRUE,Speaking,"Covering trans stories with cultural awareness, evidence, and data",Presentation,OpenNews,SRCCON 2022,2022,,,,,,,
TRUE,Speaking,First Python Notebook,Workshop,Investigative Reporters & Editors,NICAR 2022,2022,,"Wrote what was then <a href=""https://palewi.re/docs/first-python-notebook/compute.html"">Chapter 12</a> and taught 1/3 of day-long course.",https://palewi.re/docs/first-python-notebook/index.html,chapter 12,,,
TRUE,Speaking,Investigating LGBTQ+ Issues with Public Records,Panel,Chicago Headline Club,FOIAFest,2022,,,,,,,
TRUE,Speaking,Best practices to get and use data on the LGBTQ community,Panel,Investigative Reporters & Editors,NICAR 2022,2022,,,,,,,
TRUE,Speaking,LGBTQ+ Networking Session,Moderation,Investigative Reporters & Editors,IRE20,2020,,,,,,,
TRUE,Speaking,Investigating Housing,Workshop,The Groundtruth Project,Report for America In-Depth Beat Training,2020,,Developed three-hour training and follow-up tipsheets for journalists starting out on the housing beat.,https://drive.google.com/drive/folders/1rQ4-_cbPCvDJaMmc0ZudFxuU3GnDN1ux,,,,
TRUE,Speaking,Diverse newsrooms can produce better journalism: Let's make it happen,Panel,Investigative Reporters & Editors,NICAR 2020,2020,,,,,,,
FALSE,Speaking,Google Forms for Data Entry,Presentation,St. Louis Public Radio,Internal training,2020,,,,,,,
FALSE,Speaking,"Investigative Journalism, Photojournalism",Panel,St. Louis Public Radio,Mini J School,2019,,"Built the Mini J School curriculum with a panel of other journalists and development staff, then lead and participated in several sessions.",https://current.org/2019/08/in-st-louis-a-mini-j-school-makes-public-radio-listeners-advocates-for-real-news/,,,,
FALSE,Speaking,Excel Tricks You've Never Used - Teaching Assistant,Workshop,"Investigative Reporters & Editors, St. Louis Public Radio","2019 IRE Conference, internal newsroom training",2019,,,,,,,
