show_flag,title,type,event,year,organization,notes,url,hidden_notes
FALSE,IRE thing,,,2024,,,,
FALSE,SPJ thing,,,2024,,,,
TRUE,The Do's and Don't's of Covering Trans Issues,Moderation,Education Writers Association National Convention 2024,2024,Education Writers Association,,,
TRUE,A roundtable on covering trans communities,Moderation,Society of Professional Journalists Region 10 Conference,2024,Society of Professional Journalists,,https://youtu.be/nYOc36QDzsU,
TRUE,Community call on trans data and mentorship programs for trans journalists,Presentation,"OpenNews Community Call, April",2024,OpenNews,,,
TRUE,How to cover trans communities sensitively and accurately,Workshop,Internal training,2024,the Trans Journalists Association > AudioChuck,,,
TRUE,The power of knowing your (data's) weaknesses,Panel,NICAR 2024,2024,Investigative Reporters & Editors,,,
TRUE,First Python notebook: Data analysis on a deadline,Workshop,NICAR 2024,2024,Investigative Reporters & Editors,,https://palewi.re/docs/first-python-notebook/concat.html,
TRUE,Trans data: How we can do better,Panel,NICAR 2024,2024,Investigative Reporters & Editors,,,
TRUE,Intro to Data Journalism: How To Tell Stories With Data,Presentation,"Class Visits, #Press4Education","2024, 2020","Columbia University, Society of Professional Journalists",,,
FALSE,Guest editor for class exercise,Presentation,Class Visit,2024,CUNY,,,
TRUE,How to cover trans issues well in an election year,Workshop,Public training,2024,Reynolds Journalism Institute,,,
TRUE,How to use bad and limited LGBTQ+ data responsibly,Workshop,SRCCON 2023,2023,OpenNews,,https://2023.srccon.org/schedule/,
TRUE,"Beyond ""the medical debate"": Envisioning high-impact/autonomy-centered coverage of anti-trans legislation",Panel,AccessFest 2023,2023,Investigative Reporters & Editors,,https://schedules.ire.org/accessfest-2023/index.html#2026,
TRUE,Transgender and gender non-conforming data sources,Panel,AccessFest 2023,2023,Investigative Reporters & Editors,,https://schedules.ire.org/accessfest-2023/index.html#2023,
TRUE,Reporting With Flawed Data,Presentation,"Report for America Skills Training, Diving Into Data Workshop 2023",2023,"The Groundtruth Project, <a href=""https://ewa.org/events/upcoming-events/diving-into-data-workshop-2023"">Education Writers' Association</a>",,,
TRUE,Framing and Facts: Getting Trans Coverage Right,Panel,NLGJA National Convention 2023,2023,NLGJA: The Association for LGBTQ+ Journalists,,,
TRUE,Shop Talk: Visual Storytelling,Panel,76th EWA National Seminar,2023,Education Writers Association,,,
TRUE,Queering the Newsroom: LGBTQ+ Journalist Caucus ,Moderation,76th EWA National Seminar,2023,Education Writers Association,,,
TRUE,How to clean messy data,Workshop,Internal training,2023,Civic News Company,,,
FALSE,Q&A on covering trans issues,Presentation,Internal training,"2024, 2023","the Trans Journalists Association > St. Louis Public Radio, The Associated Press, Reuters, KFF Health News, WYPR, CBS News",,,
TRUE,How to Cover Trans Issues Well,Panel,Region 10 SPJ Conference 2023,2023,Society of Professional Journalists,,,
TRUE,Extracting Data from PDFs,Presentation,"Diving Into Data Workshop 2023, internal newsroom trainings","2023, 2018","<a href=""https://ewa.org/events/upcoming-events/diving-into-data-workshop-2023"">Education Writers' Association</a>, St. Louis Public Radio",,,
TRUE,Intermediate/Advanced Excel and Intro to SQL,Workshop,Diving Into Data Workshop 2023,2023,"<a href=""https://ewa.org/events/upcoming-events/diving-into-data-workshop-2023"">Education Writers' Association</a>",Developed and co-taught a weekend course in Excel and SQL.,,
TRUE,Editors' Roundtable,Panel,Higher Ed Media Fellowship CTE Symposium,2022,"<a href=""https://citizensandscholars.org/fellowships/for-business-policy-leaders/higher-ed-media-fellowship/"">Institute for Citizens & Scholars</a>",,,
TRUE,How to scrape websites with Google Sheets,Workshop,Internal training,2022,Investigative Reporters & Editors > The Mountain State Times,,,
TRUE,"Covering trans stories with cultural awareness, evidence, and data",Presentation,SRCCON 2022,2022,OpenNews,,,
TRUE,First Python Notebook,Workshop,NICAR 2022,2022,Investigative Reporters & Editors,"Wrote what was then <a href=""https://palewi.re/docs/first-python-notebook/compute.html"">Chapter 12</a> and taught 1/3 of day-long course.",https://palewi.re/docs/first-python-notebook/index.html,chapter 12
TRUE,Investigating LGBTQ+ Issues with Public Records,Panel,FOIAFest,2022,Chicago Headline Club,,,
TRUE,Best practices to get and use data on the LGBTQ community,Panel,NICAR 2022,2022,Investigative Reporters & Editors,,,
